Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2017,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1947,43.3
2017,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2066,39.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6700,36.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,425,29.4
2017,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2691,44.9
2017,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,414,36.7
2017,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3519,45.0
2017,Cerebrovascular diseases (I60-I69),Stroke,Texas,10790,41.3
2017,Cerebrovascular diseases (I60-I69),Stroke,Utah,888,36.2
2017,Cerebrovascular diseases (I60-I69),Stroke,Vermont,249,28.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Virginia,3555,37.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Washington,3028,36.9
2017,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1058,41.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2513,33.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,190,28.4
2017,Chronic lower respiratory diseases (J40-J47),CLRD,United States,160201,40.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,3484,57.8
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,204,35.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3802,42.7
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,2517,66.7
2017,Chronic lower respiratory diseases (J40-J47),CLRD,California,13881,32.2
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,2604,45.6
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1471,30.4
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,526,40.8
2017,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,137,19.6
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,12619,39.0
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,4866,46.2
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,378,19.0
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,925,47.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5732,37.6
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,4375,55.2
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1939,46.5
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1832,51.7
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Kentucky,3480,64.5
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2467,46.6
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,982,48.7
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,2079,29.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2842,32.5
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5688,44.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,2464,36.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Mississippi,2037,58.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,3940,50.7
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Montana,752,53.5
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,1224,52.6
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Nevada,1633,50.0
2017,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,755,43.0
2017,Chronic lower respiratory diseases (J40-J47),CLRD,New Jersey,3227,28.6
2017,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1143,44.2
2017,Chronic lower respiratory diseases (J40-J47),CLRD,New York,7258,28.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,5540,45.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,358,38.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Ohio,7312,48.5
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Oklahoma,3035,65.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,2088,39.7
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6667,37.1
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,521,36.2
2017,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,2983,47.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,505,45.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Tennessee,4657,57.4
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,10650,40.5
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,826,32.1
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,375,43.0
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3363,34.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,3177,38.1
2017,Chronic lower respiratory diseases (J40-J47),CLRD,West Virginia,1681,64.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2834,38.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Wyoming,366,53.8
2017,Diabetes mellitus (E10-E14),Diabetes,United States,83564,21.5
2017,Diabetes mellitus (E10-E14),Diabetes,Alabama,1173,19.8
2017,Diabetes mellitus (E10-E14),Diabetes,Alaska,130,19.3
2017,Diabetes mellitus (E10-E14),Diabetes,Arizona,2054,23.7
2017,Diabetes mellitus (E10-E14),Diabetes,Arkansas,1180,32.4
2017,Diabetes mellitus (E10-E14),Diabetes,California,9595,22.1
2017,Diabetes mellitus (E10-E14),Diabetes,Colorado,1017,17.2
2017,Diabetes mellitus (E10-E14),Diabetes,Connecticut,694,14.5
2017,Diabetes mellitus (E10-E14),Diabetes,Delaware,244,19.1
2017,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,138,20.1
2017,Diabetes mellitus (E10-E14),Diabetes,Florida,6172,20.2
2017,Diabetes mellitus (E10-E14),Diabetes,Georgia,2348,21.5
2017,Diabetes mellitus (E10-E14),Diabetes,Hawaii,299,15.9
2017,Diabetes mellitus (E10-E14),Diabetes,Idaho,394,20.3
2017,Diabetes mellitus (E10-E14),Diabetes,Illinois,2927,19.2
2017,Diabetes mellitus (E10-E14),Diabetes,Indiana,2096,26.6
2017,Diabetes mellitus (E10-E14),Diabetes,Iowa,918,22.8
2017,Diabetes mellitus (E10-E14),Diabetes,Kansas,874,25.2
2017,Diabetes mellitus (E10-E14),Diabetes,Kentucky,1474,27.7
2017,Diabetes mellitus (E10-E14),Diabetes,Louisiana,1272,23.9
2017,Diabetes mellitus (E10-E14),Diabetes,Maine,395,19.8
2017,Diabetes mellitus (E10-E14),Diabetes,Maryland,1439,20.3
2017,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1321,15.1
2017,Diabetes mellitus (E10-E14),Diabetes,Michigan,2798,22.1
2017,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1312,19.3
2017,Diabetes mellitus (E10-E14),Diabetes,Mississippi,1164,33.3
2017,Diabetes mellitus (E10-E14),Diabetes,Missouri,1605,21.0
2017,Diabetes mellitus (E10-E14),Diabetes,Montana,292,21.6
2017,Diabetes mellitus (E10-E14),Diabetes,Nebraska,575,25.0
2017,Diabetes mellitus (E10-E14),Diabetes,Nevada,609,18.3
2017,Diabetes mellitus (E10-E14),Diabetes,New Hampshire,340,19.2
2017,Diabetes mellitus (E10-E14),Diabetes,New Jersey,1908,16.9
2017,Diabetes mellitus (E10-E14),Diabetes,New Mexico,673,26.5
2017,Diabetes mellitus (E10-E14),Diabetes,New York,4176,16.8
2017,Diabetes mellitus (E10-E14),Diabetes,North Carolina,2903,23.6
2017,Diabetes mellitus (E10-E14),Diabetes,North Dakota,194,21.8
2017,Diabetes mellitus (E10-E14),Diabetes,Ohio,3740,25.2
2017,Diabetes mellitus (E10-E14),Diabetes,Oklahoma,1398,30.6
2017,Diabetes mellitus (E10-E14),Diabetes,Oregon,1243,23.9
2017,Diabetes mellitus (E10-E14),Diabetes,Pennsylvania,3704,21.1
2017,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,275,18.8
2017,Diabetes mellitus (E10-E14),Diabetes,South Carolina,1535,24.5
2017,Diabetes mellitus (E10-E14),Diabetes,South Dakota,263,24.9
2017,Diabetes mellitus (E10-E14),Diabetes,Tennessee,1915,24.0
2017,Diabetes mellitus (E10-E14),Diabetes,Texas,5832,21.2
2017,Diabetes mellitus (E10-E14),Diabetes,Utah,596,22.9
2017,Diabetes mellitus (E10-E14),Diabetes,Vermont,163,19.2
2017,Diabetes mellitus (E10-E14),Diabetes,Virginia,1967,20.1
2017,Diabetes mellitus (E10-E14),Diabetes,Washington,1812,21.6
2017,Diabetes mellitus (E10-E14),Diabetes,West Virginia,864,34.0
2017,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1433,19.4
2017,Diabetes mellitus (E10-E14),Diabetes,Wyoming,121,18.1
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,647457,165.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,13110,223.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alaska,814,135.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,12398,141.9
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,8270,223.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,California,62797,142.9
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Colorado,7060,122.7
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Connecticut,7138,141.6
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Delaware,1990,158.4
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1284,189.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Florida,46440,145.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Georgia,18389,175.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Hawaii,2575,129.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Idaho,3084,162.5
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Illinois,25394,163.3
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Indiana,14445,183.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Iowa,7180,167.4
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kansas,5723,158.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,10343,195.9
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,11260,214.4
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maine,2844,143.5
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11653,164.5
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12140,134.7
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,25187,196.1
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Minnesota,8230,119.1
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Mississippi,7944,231.6
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Missouri,14820,191.1
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Montana,2164,155.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nebraska,3581,149.3
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nevada,6417,199.3
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Hampshire,2721,149.7
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Jersey,18840,162.3
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Mexico,3896,151.4
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New York,44092,171.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Carolina,18808,156.5
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Dakota,1326,137.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Ohio,28008,186.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oklahoma,10772,237.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oregon,6942,134.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Pennsylvania,32312,176.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Rhode Island,2339,155.7
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Carolina,10418,172.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Dakota,1710,150.1
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,16019,202.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Texas,45346,169.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Utah,3749,150.2
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Vermont,1332,152.5
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Virginia,14861,154.5
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Washington,11582,138.8
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,West Virginia,4849,192.0
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wisconsin,11860,157.6
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wyoming,1001,148.9
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,55672,14.3
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,1176,20.2
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alaska,66,11.7
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arizona,876,10.1
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arkansas,720,19.8
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,6340,14.6
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Colorado,577,10.1
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Connecticut,675,13.1
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Delaware,184,14.9
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,District of Columbia,79,11.4
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Florida,3057,9.6
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Georgia,1400,13.8
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,637,29.6
